time_ms,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw
73033,-1.57,-0.13,0.05,0.03,-0.00,-0.07
73034,-1.05,-0.02,0.05,0.03,-0.00,0.04
73035,-1.26,-0.02,-0.36,0.03,-0.00,-0.07
73036,-1.47,-0.02,0.05,0.03,-0.11,-0.07
73037,-0.95,-0.02,0.05,-0.08,-0.11,-0.07
73038,-1.26,-0.13,-0.26,0.03,-0.00,-0.07
73039,-1.47,0.08,0.16,0.03,-0.11,0.04
73040,-0.95,-0.02,-0.05,0.03,-0.21,-0.17
73041,-1.36,-0.02,-0.26,0.03,-0.11,0.04
73042,-1.26,-0.02,0.05,-0.08,-0.00,-0.17
73043,-1.05,-0.02,-0.05,0.03,-0.11,-0.07
73044,-1.36,-0.13,-0.26,0.03,-0.11,0.04
73045,-1.36,0.08,0.05,0.03,-0.00,-0.17
73046,-0.84,-0.13,-0.05,0.03,-0.11,-0.07
73047,-1.68,0.08,-0.16,0.03,-0.00,0.04
73048,-1.36,0.08,-0.16,0.03,-0.11,0.04
73049,-1.16,-0.23,-0.05,0.03,-0.11,0.04
73050,-1.47,-0.02,-0.16,0.03,-0.00,-0.17
73051,-1.16,0.08,-0.05,0.03,-0.11,-0.07
73052,-1.16,-0.23,-0.05,0.03,-0.00,-0.07
73053,-1.47,-0.13,-0.36,0.03,-0.21,-0.07
73054,-0.95,0.08,-0.16,0.03,-0.11,-0.07
73055,-1.36,-0.13,0.16,0.03,-0.11,-0.07
73056,-1.47,-0.02,-0.26,0.03,-0.00,-0.07
73057,-0.95,0.08,-0.05,0.03,-0.21,-0.17
73058,-1.26,-0.02,0.05,-0.08,-0.00,-0.07
73059,-1.47,-0.02,-0.16,0.13,-0.11,-0.07
73060,-0.95,0.19,-0.26,0.03,-0.21,-0.07
73061,-1.36,-0.02,-0.05,-0.08,-0.21,-0.17
73062,-1.36,-0.13,-0.05,0.03,-0.00,0.04
73063,-1.05,0.08,-0.36,0.03,-0.11,0.14
73064,-1.16,-0.02,0.05,-0.08,-0.11,-0.07
