xtime[s],xdist    [m],PM_commandedTorque[Nm],PM_dcBusCurrent[A],PM_dcBusVolt[V],PM_motorSpeed[rpm],PM_torqueFeedback[Nm]
58.7,0,186.3,185.2,249.2,2469,194.1
58.8,0,185.7,190.6,250.3,2542,183.7
58.9,0,200,211.9,246.6,2547,205.3
59,0,183.8,186.4,251.7,2485,192.3
59.1,0,183.2,173.3,252.5,2435,185.7
59.2,0,184.3,180.7,247.2,2512,182.3
59.3,0,85.7,87.9,277.5,2465,88.6
59.4,0,0,3.9,306.2,2375,2.8
59.5,0,0,-0.1,307.5,2205,-0.7
59.6,0,0,-0.1,307.8,2037,-1
59.7,0,0,0,308.4,1954,-0.8
59.8,0,0,0,308.5,1748,-0.7
59.9,0,4.4,2.7,307.6,1670,3.8
60,0,14.3,9,306.3,1731,14.4
60.1,0,20.9,12.6,304.7,1709,21.4
60.2,0,22.4,12.8,304.4,1667,23.2
60.3,0,18.5,10.3,305.5,1632,18.9
60.4,0,7.1,3.8,307.9,1600,6.4
60.5,0,0,0,308.7,1611,-0.3
60.6,0,1.9,1.1,308,1641,2.7
60.7,0,6.4,3.7,308,1624,7.7
60.8,0,11,6.4,306.9,1608,11.6
60.9,0,12.5,7.1,306.9,1575,13
61,0,6.1,3.3,308.6,1500,5.7
61.1,0,0,-0.1,309.8,1496,-0.1
61.2,0,0,0.1,309.9,1504,1.3
61.3,0,11.8,7.1,307.6,1547,11.1
61.4,0,50,31.4,300.7,1666,47.8
61.5,0,73,45,296.8,1664,72
61.6,0,71.4,43.6,296.8,1676,72.2
61.7,0,75,46.4,295.8,1728,75.6
61.8,0,76,46.4,295.8,1707,76.1
61.9,0,77,47.4,295.9,1695,75
62,0,88.2,56.6,293.4,1724,85.8
62.1,0,148.4,115.5,276.3,1895,144.8
62.2,0,200,158.7,263.7,1971,197.5
62.3,0,200,153.1,264.8,1949,195.1
62.4,0,200,162.5,262.1,2090,195.5
62.5,0,200,172.4,258.4,2214,201.3
62.6,0,200,183.5,252.1,2320,198.9
62.7,0,186.3,179.3,253.4,2454,189.3
62.8,0,172,175,257.1,2570,177
62.9,0,185.7,218.6,245.2,2698,182.2
63,0,200,265.8,226.7,2854,185
63.1,0,179.9,265.8,226.9,2962,164.3
63.2,0,137.8,205.7,246.3,2992,132.5
63.3,0,137.5,212.8,240.5,3043,134.8
63.4,0,81.5,141.9,263.6,3013,78.5
63.5,0,0,1.9,306.4,2619,-0.2
63.6,0,0,0,307.7,2409,0.1
63.7,0,0,0,307.5,2422,-0.2
63.8,0,0,0,307.3,2096,0.3
63.9,0,0,0,307.6,1761,0.1
64,0,0,0,307.9,1649,-0.4
64.1,0,0,0,308.5,1795,0.1
64.2,0,7.3,5.7,306.8,1988,7.9
64.3,0,30.7,23.7,301.4,2030,32.2
64.4,0,48.4,38.9,297,2170,49.1
64.5,0,48.9,38.1,297,2152,49
64.6,0,56.7,44.2,294.7,2118,60.2
64.7,0,65.4,51.1,293.1,2126,66.7
64.8,0,75.2,55.9,291.9,2008,72.7
64.9,0,141.8,125.5,273.8,2128,149.1
65,0,200,187.9,256.9,2246,213.6
65.1,0,200,200.4,251.2,2369,202.7
65.2,0,185.8,190.3,252.6,2483,181.8
65.3,0,90.1,85.8,282.4,2258,89.5
65.4,0,3,1.4,307.5,1763,2
65.5,0,0,-0.2,308.5,1272,-1.4
65.6,0,0,0,308.6,1083,0.3
65.7,0,0,0,308.4,1400,-0.9
65.8,0,2.4,1.5,307.8,1757,0.8
65.9,0,4.4,2.7,307.7,1786,4.7
66,0,7.4,4.6,307.7,1754,8.2
66.1,0,6.5,4,308,1662,7.2
66.2,0,1,0.5,309.2,1531,2.1
66.3,0,0,0,309,1472,1
66.4,0,0,-0.1,309,1448,0.2
66.5,0,3.4,1.9,308.7,1431,5.1
66.6,0,13.8,7.7,307.2,1481,16.1
66.7,0,14.6,7.8,306.6,1441,15
66.8,0,4.1,3.6,307,1354,4
66.9,0,0,1.8,307.9,1335,0.3
67,0,0,0,309.2,1285,0.9
67.1,0,68.6,49.2,296.7,1534,66
67.2,0,116,75.2,288.5,1641,115.4
67.3,0,53.3,28.2,300.3,1460,56
67.4,0,7.1,3.3,308,1421,6.4
67.5,0,0,-0.1,309.2,1334,-1.1
67.6,0,0,0,309.4,1195,-0.6
67.7,0,4.4,1.8,308.9,1120,3.9
67.8,0,16.8,6.3,307.4,1121,15.3
67.9,0,12.8,4.6,307.5,1049,11.5
68,0,0,-0.1,308.6,1079,0.1
68.1,0,8.3,2.9,308.4,1084,9
68.2,0,29.7,11,306.4,1045,31.3
68.3,0,71.4,31.7,300.4,1167,71.6
68.4,0,90.6,43.5,296.7,1300,89.5
68.5,0,72.1,36,298.7,1380,73.5
68.6,0,71.3,36.1,299.3,1408,72.6
68.7,0,81.4,40.5,297.9,1370,80.4
68.8,0,98.1,52.1,294,1409,96.7
68.9,0,131.6,77.6,286.3,1515,134
69,0,169.6,108.8,278.4,1629,168
69.1,0,149.8,99.4,281.4,1763,141.7
69.2,0,109.9,69.5,287.9,1737,110.3
69.3,0,93.3,54.9,292,1623,96.2
69.4,0,77.4,44.7,296.1,1628,73.7
69.5,0,67.7,40.3,297.3,1687,67
69.6,0,57.4,36.3,298.4,1789,59.5
69.7,0,76.2,53.1,294.6,1905,78.2
69.8,0,87.1,61.6,292.6,1912,89.1
69.9,0,56.9,36.9,298.8,1753,56.9
70,0,23.1,12.6,306,1629,22.7
70.1,0,7.1,3.7,309,1656,6.8
70.2,0,0,0,309.9,1619,0.1
70.3,0,30.4,20.2,303.8,1722,28.4
70.4,0,72.2,50.3,294.9,1889,71.4
70.5,0,84.4,59.8,292.2,1879,84.8
70.6,0,92.3,65.8,290.3,1898,94.4
70.7,0,77.3,53,293.5,1832,79.2
70.8,0,53.4,32.8,299,1751,53.2
70.9,0,55.9,35,297.7,1763,57.8
71,0,57,36.4,297.7,1799,57.1
71.1,0,34.3,21.6,302.9,1812,34
71.2,0,14,8,306.9,1764,13.8
71.3,0,24.7,15,305.4,1750,24.6
71.4,0,61.9,44.1,297.3,1862,63.6
71.5,0,143.4,123.2,275.3,2041,150.2
71.6,0,189.2,161.7,264.6,2072,188.2
71.7,0,90.7,71.5,289.2,1764,83.2
71.8,0,0,-0.1,308.5,1436,-0.6
71.9,0,0,0,307.9,1361,-0.7
72,0,0,0,309.1,1469,-1.1
72.1,0,0,0,310.2,1553,-0.8
72.2,0,0,-0.1,309.4,1488,-0.6
72.3,0,0,-0.2,309,1440,-1.3
72.4,0,0,-0.2,309.5,1404,-1.5
72.5,0,4.9,2.7,309.2,1433,4.9
72.6,0,8,4.1,309,1402,7.5
72.7,0,6.9,3,309,1310,5.3
72.8,0,4.5,1.9,309.7,1254,4.3
72.9,0,37.7,23.9,303.1,1454,38.8
73,0,69.1,41.2,297.7,1626,68.9
73.1,0,59.1,34.9,299.5,1666,59.6
73.2,0,60.4,35.6,299.2,1658,63.5
73.3,0,62,34.1,300.1,1536,63.8
73.4,0,64.3,36.8,299,1586,66.5
73.5,0,69.9,40.2,297.7,1592,71.1
73.6,0,74.4,45.9,296,1702,71.8
73.7,0,85.9,53.6,294.2,1712,81.2
73.8,0,145.4,64.7,291.1,1651,100
73.9,0,200,130.1,271.6,1967,153.9
74,0,200,167.2,258.5,2049,202
74.1,0,200,147,261.3,1873,209.9
74.2,0,200,147.9,262.3,1916,205.4
74.3,0,200,153,263.4,2006,199.5
74.4,0,200,163.2,261.2,2123,193.2
74.5,0,200,173.8,257.6,2240,191
74.6,0,154.9,133.4,266.4,2268,155.8
74.7,0,55.5,43.5,292.7,2129,57.5
74.8,0,0.5,0.1,308.1,2013,-0.8
74.9,0,0,0,308.1,1939,-0.3
75,0,0,0,307.9,1795,-0.4
75.1,0,0,-0.1,308.7,1634,-0.9
75.2,0,0.9,0.5,308.9,1603,0.1
75.3,0,18.6,12,305.1,1716,17.7
75.4,0,41.3,26.6,300.8,1781,41.3
75.5,0,33.7,21.1,302.4,1758,33.8
75.6,0,31.2,18.8,303.5,1733,30.5
75.7,0,54.7,34.2,298.9,1731,55.9
75.8,0,65.4,40.8,296.1,1706,67.2
75.9,0,95.8,67.9,289.8,1818,98.2
76,0,163.7,131.5,272.9,2000,171.9
76.1,0,200,166,260.4,2055,209.8
76.2,0,200,178.9,254.8,2218,203.5
76.3,0,200,193.7,252,2389,192.1
76.4,0,200,186.1,252.5,2339,191.8
76.5,0,200,178.4,252.5,2277,197.1
76.6,0,200,184.3,251.9,2349,194.1
76.7,0,200,196.5,246.6,2459,207
76.8,0,183.8,186.6,249.7,2559,200
76.9,0,149.8,147.8,262.5,2601,151.7
77,0,131.9,126.4,268,2588,124.1
77.1,0,67.3,64.4,287.2,2351,63.4
77.2,0,0,-0.1,307.1,2125,-0.7
77.3,0,0,0,307.9,2008,-1
77.4,0,0,0.1,308.1,1630,-0.2
77.5,0,0,0,307.7,1481,0.1
77.6,0,0.4,0.2,308,1392,0.4
77.7,0,0.9,0.3,307.8,1328,0.2
77.8,0,2.9,1.4,307.9,1538,2.6
77.9,0,3.9,2.2,308.4,1603,4.4
78,0,1.9,1.1,308.7,1583,2.2
78.1,0,0.5,0.3,308.6,1582,1
78.2,0,0,0,308.6,1577,0.5
78.3,0,2.9,1.6,308.1,1579,2.4
78.4,0,3.5,1.9,308.5,1508,3.7
78.5,0,0.9,0.5,308.9,1409,1.7
78.6,0,4.4,2.5,308.3,1435,5
78.7,0,7,3.6,308.2,1394,7.8
78.8,0,17.7,8.2,306.8,1325,16.2
78.9,0,27.6,13,305.1,1367,25.2
79,0,41.2,19.9,302.9,1375,39.6
79.1,0,61.9,31.4,300.3,1395,62.3
79.2,0,75.7,40.7,297.3,1453,77.4
79.3,0,114.3,68.3,289.4,1539,113.7
79.4,0,152.2,99.9,280.3,1674,152.7
79.5,0,177.1,126.5,271.6,1840,186.4
79.6,0,196.9,162,261.6,2080,199.9
79.7,0,200,181.8,255.3,2256,193.3
79.8,0,200,186.4,254.3,2328,203.4
79.9,0,200,183.6,252.9,2307,211.8
80,0,200,175.7,253.6,2240,203.3
80.1,0,200,176.6,252.7,2250,203.7
80.2,0,186.8,167.1,252.1,2304,193.9
80.3,0,186.2,179.3,251,2446,179.6
80.4,0,185.8,193.7,247.7,2614,186.2
80.5,0,172.5,196.4,245.7,2761,179.9
80.6,0,170.6,213.5,241.5,2874,171.2
80.7,0,166,229.7,236.4,2966,166.3
80.8,0,160.5,248.8,231.1,3100,157.6
80.9,0,79.6,134.5,265.5,2908,76.2
81,0,0,5.4,304.1,2718,0.4
81.1,0,0,0,306.2,2604,0.4
81.2,0,0,0,306.6,2423,0.2
81.3,0,0,0,306.3,2398,-0.4
81.4,0,0,-0.1,305.9,2216,-0.2
81.5,0,0,-0.1,306.7,2124,0
81.6,0,0,0,307.6,2159,-0.3
81.7,0,0,0,307.8,2106,-0.3
81.8,0,0,0,307.2,2001,-0.2
81.9,0,2.9,1.9,306.8,1885,3
82,0,8.4,5.5,306.4,1857,8.1
82.1,0,11,7.3,306.1,1884,10.8
82.2,0,18.4,12.4,304.2,1902,18.6
82.3,0,41.2,29.4,299.1,1955,41.6
82.4,0,68.2,52.9,291.9,2065,67.4
82.5,0,88.7,67.4,287.8,2022,88.6
82.6,0,113.1,84.9,283.5,1965,111.7
82.7,0,162.8,131.1,270.9,2029,158.1
82.8,0,101,83.1,284.8,1889,98.1
82.9,0,0,-0.3,307.8,1741,-0.8
83,0,0,-0.1,307.2,1830,-0.6
83.1,0,0,0.1,308,1845,0.3
83.2,0,0,0,308.4,1692,1
83.3,0,0,0,308.7,1618,0.6
83.4,0,0,-0.1,308.7,1593,-0.8
83.5,0,0,-0.2,308,1560,-1
83.6,0,0,-0.1,308.6,1538,-0.1
83.7,0,0,0,309.3,1524,0.1
83.8,0,0.9,0.4,308.8,1497,1
83.9,0,40.6,25.5,301.4,1618,38.6
84,0,76,48.8,294.7,1765,74.9
84.1,0,68.5,43.9,296.1,1759,67.5
84.2,0,44.8,27.5,300.7,1709,41.6
84.3,0,11.7,6.5,306.6,1586,9.8
84.4,0,0,0,308.5,1459,-0.8
84.5,0,0.4,0.1,308.6,1463,0.7
84.6,0,0.5,0.1,308.8,1453,0.8
84.7,0,0,-0.1,308.6,1321,0.1
84.8,0,0,0,309.4,1193,0.1
84.9,0,0,0,309.3,1174,-0.3
85,0,0.9,0.3,308.2,1184,0.8
85.1,0,22.5,11.2,306,1220,21.5
85.2,0,35.7,16.2,304.8,1196,34.3
85.3,0,21.1,7.7,306.4,1091,20.9
85.4,0,15,5.3,307,1101,14.4
85.5,0,16.4,5.9,306.7,1107,17.2
85.6,0,20.9,7.7,306.8,1108,21.9
85.7,0,41.1,16.7,304.9,1149,39
85.8,0,43.8,17.6,304.5,1129,41.9
85.9,0,17.2,6,307.6,1049,17.4
86,0,10.8,4,307.8,1102,11.7
86.1,0,29.2,11.8,305.3,1180,29.3
86.2,0,67,30.4,300.3,1220,68.4
86.3,0,102.2,50,294.5,1297,103.9
86.4,0,109.5,54.7,292.8,1344,106.6
86.5,0,97.7,48.8,294.6,1372,93.3
86.6,0,89,46.8,296.1,1456,85.9
86.7,0,91.5,51,295.5,1531,88.1
86.8,0,93.5,53.7,293.9,1569,92.8
86.9,0,91,53.2,293,1600,91.5
87,0,89.5,50.7,293.5,1554,88.2
87.1,0,85.1,46.9,294.4,1517,85.9
87.2,0,79.9,44.2,295.2,1532,81.8
87.3,0,80.4,45.8,294.7,1572,83.5
87.4,0,80,48.4,294.6,1675,80.7
87.5,0,82.9,53.7,293.3,1773,81.1
87.6,0,88.9,59.7,291.5,1816,87.6
87.7,0,91.5,61.9,291.3,1830,89.1
87.8,0,84.7,56.1,292.8,1810,82.2
87.9,0,70.1,44.9,295.6,1787,70.1
88,0,59.6,37.9,298,1795,60.2
88.1,0,32.5,20.1,303.1,1746,31.7
88.2,0,31,21.8,301.9,1888,31.8
88.3,0,41.2,28.7,300.3,1955,42.9
88.4,0,19.2,11.5,305.4,1778,19.4
88.5,0,22.7,14.1,304.3,1780,22.2
88.6,0,45.7,29.6,300.3,1823,45
88.7,0,57,37,298.6,1819,57.1
88.8,0,57.5,37.8,298.1,1834,57.5
88.9,0,57.5,37.6,297.7,1832,55.9
89,0,64.8,41.6,296.5,1788,63.6
89.1,0,77.4,51,294.4,1794,78.6
89.2,0,81.4,57,292.7,1893,84.6
89.3,0,80,58.2,291.4,1982,81.7
89.4,0,80.9,59.2,290.7,2000,82.9
89.5,0,48.6,35.2,298,1985,49.7
89.6,0,6.6,4.2,307.8,1804,6.6
89.7,0,0,-0.1,308.9,1486,0.8
89.8,0,0,0,308.3,1422,0.5
89.9,0,0,0,308.3,1504,0.2
90,0,0.4,0.2,308.5,1476,0.6
90.1,0,8.3,4.9,307.4,1470,8.1
90.2,0,27.7,16,304.6,1537,28.1
90.3,0,35.6,19.4,304.2,1540,36.2
90.4,0,34.9,17.6,304.7,1448,34.8
90.5,0,34.5,16.8,304.7,1402,35.4
90.6,0,26.5,12.6,305.8,1383,27.7
90.7,0,17.1,7.8,306.9,1361,16.6
90.8,0,10.5,4.5,307.7,1337,10.2
90.9,0,10,4.3,307.7,1359,9.7
91,0,12,5.3,307.8,1353,11.3
91.1,0,39.4,22.5,303.1,1469,39.4
91.2,0,68.9,37.6,298.5,1502,69
91.3,0,83.3,44.5,296.7,1441,82.2
91.4,0,100.4,57.7,293.6,1539,96.4
91.5,0,110.4,68.2,290.3,1650,108.6
91.6,0,114.4,72.2,288.8,1686,112.8
91.7,0,133.1,84.6,285.1,1663,133.5
91.8,0,155.4,104.9,278.8,1744,162
91.9,0,166.3,122.3,274.4,1898,168.5
92,0,185.7,154.2,266,2093,189.8
92.1,0,198.4,179.3,259,2275,210.4
92.2,0,200,194,251.2,2419,205.5
92.3,0,200,203.3,244.5,2477,197.5
92.4,0,184.8,172.1,254.3,2321,182.3
92.5,0,184.2,166.8,259.5,2291,190.3
92.6,0,200,195.7,250.5,2424,208.1
92.7,0,175.5,165.9,255.5,2408,175
92.8,0,76.4,68.3,285.2,2190,75.7
92.9,0,0,-0.1,307.5,2039,0.7
93,0,0,0,308.1,1968,0.9
93.1,0,0,0,307.5,1735,-0.6
93.2,0,0.4,0.2,307.9,1622,-0.4
93.3,0,2.4,1.2,308.1,1569,2.2
93.4,0,7.4,4,307.2,1565,7.6
93.5,0,26.2,17.5,303,1785,28
93.6,0,55.2,36.7,297.3,1880,55.6
93.7,0,75.8,50.1,293.6,1799,75.3
93.8,0,84.9,56.8,291.6,1801,85.2
93.9,0,91.8,62.2,290.1,1826,92.2
94,0,118,89.8,282.2,1956,117.6
94.1,0,169.4,145.7,267.2,2140,161.4
94.2,0,200,190.6,254.7,2391,189.9
94.3,0,200,223.3,242.4,2650,197.6
94.4,0,179.4,233.1,235.6,2809,180
94.5,0,159.9,229,236.9,2909,161.4
94.6,0,161.4,239,235.4,2971,167.7
94.7,0,159.9,246.2,231.6,2996,160.7
94.8,0,156,234,236.1,2976,152.2
94.9,0,160.8,213.9,244.6,2823,155
95,0,86.2,112.4,274.5,2632,83
95.1,0,0,4.3,305.3,2327,3.3
95.2,0,0,0.1,305.8,1595,0
95.3,0,1.4,0.4,305.9,1107,1.7
95.4,0,1.5,0.5,306.7,1183,2.4
95.5,0,0,0,307.1,1031,1.3
95.6,0,0,0,307.1,873,1.1
95.7,0,0.9,0.2,307.1,906,1.2
95.8,0,2.9,1,306.4,1120,2.6
95.9,0,3.4,1.5,306.8,1355,2.8
96,0,2.9,1.3,307.2,1287,2.4
96.1,0,1.5,0.6,307.3,1210,1.4
96.2,0,0.4,0.2,307.7,1229,0.8
96.3,0,0.5,0.2,307.5,1247,0.5
96.4,0,0,-0.1,307.7,1215,-0.2
96.5,0,0,0,307.6,1191,0.4
96.6,0,0,0,307.1,1161,0.3
96.7,0,1.4,0.5,307,1169,1.7
96.8,0,3.4,1.3,307.1,1180,3.6
96.9,0,2,0.8,307.9,1151,1.8
97,0,0.4,0.2,308.5,1123,0.9
97.1,0,0.5,0.2,308.4,1125,1.9
97.2,0,6.9,3.1,307.5,1167,7.9
97.3,0,45.8,19.6,303.2,1178,44.6
97.4,0,62.8,26.6,301.2,1177,62.1
97.5,0,30.3,12.5,304.8,1181,31.1
97.6,0,11.6,4.2,307.4,1144,10.9
97.7,0,9,3.2,307.8,1138,7.8
97.8,0,11,4,307.4,1143,10.8
97.9,0,6.6,2.4,307.5,1107,6.7
98,0,0,-0.1,308.6,1064,-0.3
98.1,0,0,-0.1,309.1,1063,0.1
98.2,0,0,-0.1,309.4,1025,-0.1
98.3,0,0,0,309.4,1001,0.3
98.4,0,0,0,308.8,983,0.3
98.5,0,0,0,308.8,950,-0.2
98.6,0,0,0,309.5,949,-0.4
98.7,0,0,0,309.7,931,-0.2
98.8,0,0,0,309.4,907,0.4
98.9,0,0,0,309.2,887,-0.1
99,0,0,0,309.2,866,-0.8
99.1,0,0,-0.1,309.6,841,-0.5
99.2,0,0,0,309.4,804,-1.1
99.3,0,0,-0.1,308.9,758,-0.9
99.4,0,1.9,0.6,309.2,745,1.8
99.5,0,2,0.8,309.6,672,2.3
99.6,0,0,0.1,309.7,551,0.4
99.7,0,0,0,309.7,543,0.1
99.8,0,0,0,309.8,534,-0.3
99.9,0,0,0,310,463,-0.9
100,0,0,0,310.1,384,-0.5
100.1,0,0,0,309.7,322,0
100.2,0,0,0,309.5,289,-0.2
100.3,0,0,0,309.7,261,-0.3
100.4,0,0,0,310.1,225,0.3
100.5,0,0,0,310.3,188,0.9
100.6,0,0,0,309.8,154,0.8
100.7,0,0,0,309.3,120,-0.1
100.8,0,0,0,309.5,88,-0.2
100.9,0,0,0,310,51,0.2
101,0,0,0,310.2,10,0
101.1,0,0,0,310,-11,0.3
101.2,0,0.4,0,310.3,-3,0.6
101.3,0,0.5,0,310.4,4,0
101.4,0,0,0,310.3,1,-0.3
101.5,0,0,0,310,-2,0
101.6,0,0,0,309.8,0,0.4
101.7,0,0,0,310.2,0,-0.2
101.8,0,0,0,310.3,0,-0.7
101.9,0,0,0,310.1,0,0.2
102,0,0,0,310.1,0,-1.2
102.1,0,0,0,310.6,0,-1.3
102.2,0,0,0,310.4,0,0
102.3,0,0,0,310.4,0,-0.2
102.4,0,0,0,310.6,0,0.1
102.5,0,0,0,310.3,0,-0.1
102.6,0,0,0,310.2,0,-0.7
102.7,0,0,0,310,0,-0.4
102.8,0,0,0,310.2,0,0.1
102.9,0,0,0,310.3,0,-0.3
103,0,0,0,310.6,0,-0.4
103.1,0,0,0,310.6,0,-0.1
103.2,0,0,0,310.3,0,0.1
103.3,0,0,0,310.7,0,0.3
103.4,0,0,0,311,0,0.1
103.5,0,0,0,269.6,0,0
103.6,0,0,0,191.8,0,-0.4
103.7,0,0,0,144.2,0,0.6
103.8,0,0,0,125.8,0,0.7
103.9,0,0,0,112.2,0,-0.4
104,0,0,0,99.1,0,-0.5
104.1,0,0,0,86,0,-0.3
104.2,0,0,0,73,0,-0.3
104.3,0,0,0,59.4,0,0
104.4,0,0,0,43.8,0,0.9
104.5,0,0,0,24.4,0,0.1
104.6,0,0,0,12.7,0,-0.6
104.7,0,0,0,11.8,0,0.1
104.8,0,0,0,10.9,0,0.2
104.9,0,0,0,10,0,-0.3
105,0,0,0,9.3,0,0.2
105.1,0,0,0,8.8,0,0.2
105.2,0,0,0,8.2,0,-0.4
105.3,0,0,0,7.6,0,1
105.4,0,0,0,7,0,1.3
